Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0002           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0003           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.516   323.5
0.0004           -1.268       -5.784        4.517   323.5
0.0004           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0005           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0006           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0007           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0008           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0009           -1.268       -5.784        4.517   323.5
0.0010           -1.268       -5.784        4.517   323.5
0.0010           -1.268       -5.784        4.517   323.5
0.0010           -1.268       -5.784        4.517   323.5
0.0010           -1.268       -5.784        4.517   323.5
0.0010           -1.268       -5.784        4.517   323.5
0.0010           -1.268       -5.784        4.517   323.5
0.0010           -1.268       -5.784        4.517   323.5
